Proto_Germanic_Ancestor,Meaning,Target_Old_English,Modern_English,Modern_German,Modern_Dutch,Modern_Swedish
frijaz,free,frēo,free,frei,vrij,fri
ab,away,ob,of,ab,af,av
nu,now,nū,now,nun,nou,nu
an,"on, onto",an,on,an,aan,å
was,first/third-person singular past active indicative of *wesaną,wæs,was,-,was,-
gans,goose,gōs,goose,Gössel,gans,gås
juta,yet,ġīet,yet,jetzt,ooit,-
inn,"in, into (with allative direction)",in,in,-,-,in
auk,"also, too",ēac,eek,auch,ook,och
hinder,"back, on that side of, behind",hinder,-,hinter,hinder,-
sunder,"asunder, apart, separately",sundor,sunder,sondern,zonder,sönder
mari,"sea, ocean",mere,mere,Meer,meer,mar-
ann,first/third-person singular present active indicative of *unnaną,ann,-,gönne,gun,-
þar,"there, in that place",þǣr,there,dar-,daar,där
swa,"so, thus, in this manner",swā,so,so,zo,så
alu,"beer, ale",ealu,ale,-,aal,öl
fram,"forth, forward",fram,from,-,-,från
niþer,"down, downwards",niþer,nether,nieder,neder,ned
upp,"up, upwards",upp,up,auf,op,upp
wela,well (in a good manner),wel,well,wohl,wel,väl
matiz,food,mete,meat,Mett,met,mat
furi,"before, forward",for,for,für,veur,före
gudą,"god, deity",god,god,Gott,god,gud
haglaz,hail (the precipitation),hæġl,hail,Hagel,hagel,-
argaz,"unmanly, effeminate, indecent",earg,argh,arg,erg,arg
gaits,goat,gāt,goat,Geiß,geit,get
halmaz,halm; stem; stalk,healm,halm,Halm,halm,halm
ferrai,far,feorr,far,-,ver,fjärran
lambaz,lamb,lamb,lamb,Lamm,lam,lamm
dagaz,day (the period between sunrise and sunset),dæġ,day,Tag,dag,dag
isti,third-person singular present active indicative of *wesaną,is,is,ist,is,-
wulfaz,wolf,wulf,wolf,Wolf,wolf,ulv
agraz,flood,ēagor,eagre,-,agger,-
samana,at one; together,samen,sam,sammen,tsamen,samman
kinō,A split; crack,ċinu,chine,-,keen,-
mann-,"human, human being, person, individual",mann,man,Mann,man,man
gastiz,"stranger, guest",ġiest,guest,Gast,gast,gäst
gumô,man,guma,gome,-,-,brudgum
beraną,"to carry, to bear",beran,bear,gebären,-,bära
slēpaną,to sleep,slǣpan,sleep,schlafen,slapen,-
satjaną,"to set, to place down",settan,set,setzen,zetten,sätta
sunuz,son,sunu,son,Sohn,zoon,son
habjaną,"to lift, heave",hebban,heave,heben,heffen,häva
sagjaną,to say,seċġan,say,sagen,zeggen,säga
witaną,to know,witan,wit,wissen,weten,veta
kunnaną,"to know, to be familiar with, to recognise",cunnan,can,können,kunnen,kunna
maganą,"to be able, may",magan,may,mögen,mogen,må
helpaną,to help,helpan,help,helfen,helpen,hjälpa
wiljaną,to want,willan,will,wollen,willen,vilja
hlaþaną,to load,hladan,lade,laden,laden,ladda
līþaną,to go; pass,līþan,-,leiden,lijden,lida
laidijaną,"to cause to go, lead",lǣdan,lead,leiten,leiden,leda
keusaną,"to test, to try",ċēosan,choose,kiesen,kiezen,kesa
wesaną,to be,wesan,-,-,wezen,vara
būaną,"to dwell, reside",būan,bound,bauen,bouwen,bo
bringaną,to bring,bringan,bring,bringen,brengen,bringa
þankijaną,"to perceive, to think",þenċan,think,denken,denken,tänka
þunkijaną,"to seem, (impersonal, with dative subject) to think",þyncan,think,dünken,dunken,tycka
sehwaną,to see,sēon,see,sehen,zien,-
sitjaną,to sit,sittan,sit,sitzen,zitten,sitta
ligjaną,"to lie, to rest (on a surface)",liċġan,lie,liegen,liggen,ligga
lagjaną,"to lay, to place in a resting position",leċġan,lay,legen,leggen,lägga
bidjaną,to make a request (of/for);,biddan,bid,bitten,bidden,bedja
etaną,to eat,etan,eat,essen,eten,äta
drepaną,"to hit, strike",drepan,drib,treffen,treffen,träffa
sōkijaną,"to seek, look for",sēċan,seek,suchen,zoeken,söka
standaną,to stand,standan,stand,standen,standen,stånda
durzaną,to dare,durran,dare,thüren,durven,-
þurbaną,"to need, to require",þurfan,-,dürfen,durven,torva
